Tiếng Hàn,Hán tự,Nghĩa tiếng Việt
"가결","可決","Thông qua, Biểu quyết"
"가격","價格","Giá cả"
"가관","可觀","Đáng xem"
"가담","加擔","Tham gia, Dính líu"
"가동","稼動","Vận hành"
"가량","假量","Khoảng, Chừng"
"가령","假令","Giả sử, Ví dụ"
"가로","街路","Đường phố"
"가맹","加盟","Gia nhập"
"가문","家門","Gia môn, Dòng họ"
"가변","可變","Có thể thay đổi"
"가부","可否","Có hay không, Tán thành hay phản đối"
"가산","加算","Cộng thêm"
"가설","假說","Giả thuyết"
"가속","加速","Tăng tốc"
"가압","加壓","Tăng áp"
"가업","家業","Gia nghiệp"
"가요","歌謠","Ca dao, Bài hát"
"가용","可用","Có thể dùng"
"가입","加入","Gia nhập"
"가장","家長","Gia trưởng"
"가전","家電","Đồ điện gia dụng"
"가중","加重","Tăng nặng"
"가창","歌唱","Ca hát"
"가해","加害","Gây hại"
"가혹","苛酷","Khắc nghiệt"
"각국","各國","Các nước"
"각론","各論","Từng luận điểm"
"각별","各別","Đặc biệt"
"각색","各色","Các loại"
"각자","各自","Mỗi người"
"각종","各種","Các loại"
"각지","各地","Các nơi"
"간결","簡潔","Ngắn gọn"
"간과","看過","Bỏ qua"
"간략","簡略","Sơ lược"
"간섭","干涉","Can thiệp"
"간소","簡素","Đơn giản"
"간식","間食","Ăn vặt"
"간이","簡易","Đơn giản"
"간주","看做","Coi như"
"간청","懇請","Khẩn cầu"
"간편","簡便","Tiện lợi"
"갈등","葛藤","Mâu thuẫn, Xung đột"
"감사","感謝","Cảm ơn"
"감소","減少","Giảm"
"감시","監視","Giám sát"
"감염","感染","Lây nhiễm"
"감옥","監獄","Nhà tù"
"감지","感知","Cảm nhận"
"감축","減縮","Cắt giảm"
"강경","強硬","Cứng rắn"
"강권","強權","Quyền lực mạnh"
"강령","綱領","Cương lĩnh"
"강습","講習","Tập huấn"
"강압","強壓","Áp bức"
"강의","講義","Bài giảng"
"강인","強忍","Kiên cường"
"강점","強點","Điểm mạnh"
"강조","強調","Nhấn mạnh"
"강화","強化","Tăng cường"
"개방","開放","Mở cửa"
"개발","開發","Phát triển"
"개정","改正","Sửa đổi"
"개조","改造","Cải tạo"
"개혁","改革","Cải cách"
"거대","巨大","Khổng lồ"
"거래","去來","Giao dịch"
"거부","拒否","Từ chối"
"거점","據點","Căn cứ địa"
"거절","拒絶","Từ chối"
"거짓","虛僞","Giả dối"
"건강","健康","Sức khỏe"
"건국","建國","Lập quốc"
"건설","建設","Xây dựng"
"건의","建議","Kiến nghị"
"건전","健全","Lành mạnh"
"결핍","缺乏","Thiếu hụt"
"결함","缺陷","Khiếm khuyết"
"경계","境界","Ranh giới"
"경기","景氣","Tình hình kinh tế"
"경솔","輕率","Khinh suất"
"경시","輕視","Coi thường"
"경우","境遇","Trường hợp"
"경이","驚異","Kinh ngạc"
"경쟁력","競爭力","Năng lực cạnh tranh"
"경청","傾聽","Lắng nghe"
"경호","警護","Bảo vệ"
"계몽","啓蒙","Khai sáng"
"계산","計算","Tính toán"
"계승","繼承","Kế thừa"
"계층","階層","Tầng lớp"
"고갈","枯渴","Cạn kiệt"
"고귀","高貴","Cao quý"
"고독","孤獨","Cô đơn"
"고려","考慮","Xem xét"
"고발","告發","Tố cáo"
"고백","告白","Thú nhận"
"고생","苦生","Khổ cực"
"고소","告訴","Kiện tụng"
"고통","苦痛","Đau khổ"
"고혈압","高血壓","Cao huyết áp"
"공격","攻擊","Tấn công"
"공경","恭敬","Kính trọng"
"공과","功過","Công và tội"
"공권력","公權力","Quyền lực công"
"공략","攻略","Công lược"
"공모","共謀","Đồng mưu"
"공무원","公務員","Công chức"
"공방","攻防","Công thủ"
"공복","公僕","Công bộc"
"공식","公式","Công thức"
"공약","公約","Cam kết công khai"
"공익","公益","Lợi ích công"
"공작","工作","Công tác"
"공존","共存","Cùng tồn tại"
"공중","公衆","Công chúng"
"공직","公職","Công chức"
"공청회","公聽會","Hội nghị lắng nghe"
"공포","恐怖","Khủng bố, Sợ hãi"
"과감","果敢","Dũng cảm"
"과도","過度","Quá mức"
"과목","科目","Môn học"
"과반","過半","Quá nửa"
"과세","課稅","Đánh thuế"
"과실","過失","Lỗi lầm"
"과잉","過剩","Dư thừa"
"과제","課題","Bài tập, Nhiệm vụ"
"관료","官僚","Quan liêu"
"관습","慣習","Tập quán"
"관용","寬容","Khoan dung"
"관점","觀點","Quan điểm"
"관직","官職","Quan chức"
"관할","管轄","Quản hạt"
"광복","光復","Quang phục, Giải phóng"
"광범","廣範","Rộng rãi"
"광산","鑛山","Mỏ khoáng sản"
"교과","敎科","Môn học"
"교도","敎導","Giáo dưỡng"
"교리","敎理","Giáo lý"
"교사","敎師","Giáo viên"
"교섭","交涉","Đàm phán"
"교양","敎養","Giáo dưỡng"
"교육부","敎育部","Bộ giáo dục"
"교전","交戰","Giao chiến"
"교정","矯正","Chỉnh sửa"
"교훈","敎訓","Bài học"
"구금","拘禁","Giam giữ"
"구류","拘留","Tạm giam"
"구분","區分","Phân chia"
"구속","拘束","Giam giữ, Ràng buộc"
"구원","救援","Cứu viện"
"구제","救濟","Cứu tế"
"구체화","具體化","Cụ thể hóa"
"국경","國境","Biên giới"
"국고","國庫","Ngân khố quốc gia"
"국교","國交","Quan hệ ngoại giao"
"국력","國力","Quốc lực"
"국론","國論","Dư luận quốc gia"
"국보","國寶","Quốc bảo"
"국부","國父","Quốc phụ"
"국산","國産","Hàng nội địa"
"국세","國稅","Thuế quốc gia"
"국왕","國王","Quốc vương"
"국익","國益","Lợi ích quốc gia"
"국정","國政","Quốc chính"
"국채","國債","Trái phiếu chính phủ"
"국토","國土","Quốc thổ"
"군비","軍備","Quân bị"
"군주","君主","Quân chủ"
"군중","群衆","Quần chúng"
"군함","軍艦","Chiến hạm"
"권고","勸告","Khuyến cáo"
"권위","權威","Quyền uy"
"권장","勸獎","Khuyến khích"
"귀국","歸國","Về nước"
"귀환","歸還","Trở về"
"규범","規範","Quy phạm"
"규율","規律","Kỷ luật"
"극복","克服","Khắc phục"
"극심","極甚","Cực kỳ nghiêm trọng"
"극한","極限","Giới hạn cực đại"
"근절","根絶","Tận diệt"
"금융","金融","Tài chính, Ngân hàng"
"금전","金錢","Tiền bạc"
"기각","棄却","Bác bỏ"
"기강","紀綱","Kỷ cương"
"기근","飢饉","Nạn đói"
"기도","祈禱","Cầu nguyện"
"기득권","旣得權","Quyền lợi đã có"
"기만","欺瞞","Lừa dối"
"기반","基盤","Nền tảng"
"기부","寄附","Quyên góp"
"기소","起訴","Khởi tố"
"기아","飢餓","Đói khát"
"기업","企業","Doanh nghiệp"
"기원","起源","Nguồn gốc"
"기인","起因","Nguyên nhân"
"기준","基準","Tiêu chuẩn"
"기증","寄贈","Tặng"
"기지","基地","Căn cứ"
"기피","忌避","Né tránh"
"기행","奇行","Hành động kỳ lạ"
"기획","企劃","Lập kế hoạch"
"긴장","緊張","Căng thẳng"
"길흉","吉凶","Cát hung"
"공공","公共","Công cộng"
"가공","加工","Gia công"
"가구","家具","Gia cụ"
"가능","可能","Khả năng"
"가능성","可能性","Tính khả năng"
"가보","家寶","Gia bảo"
"가수","歌手","Ca sĩ"
"가정","家庭","Gia đình"
"가족","家族","Gia tộc"
"가치","價値","Giá trị"
"가훈","家訓","Gia huấn"
"각도","角度","Góc độ"
"간단","簡單","Đơn giản"
"간부","幹部","Cán bộ"
"간염","肝炎","Viêm gan"
"간접","間接","Gián tiếp"
"간첩","間諜","Gián điệp"
"간호","看護","Giám hộ"
"감각","感覺","Cảm giác"
"감격","感激","Cảm kích"
"감기","感氣","Cảm cúm"
"감동","感動","Cảm động"
"감면","減免","Miễn giảm"
"감속","減速","Giảm tốc độ"
"감정","感情","Tình cảm"
"강국","強國","Cường quốc"
"강도","強度","Cường độ"
"강산","江山","Giang sơn"
"강제","強制","Cưỡng chế"
"개념","概念","Khái niệm"
"개막","開幕","Khai mạc"
"개선","改善","Cải thiện"
"개성","個性","Cá tính"
"개인","個人","Cá nhân"
"개통","開通","Khai thông"
"객관","客觀","Khách quan"
"객실","客室","Phòng khách"
"거주","居住","Cư trú"
"거행","擧行","Cử hành"
"건축","建築","Kiến trúc"
"검도","劍道","Kiếm đạo"
"검사","檢査","Kiểm tra"
"검정","檢定","Kiểm định"
"검토","檢討","Kiểm thảo"
"격려","激勵","Khích lệ"
"견고","堅固","Kiên cố"
"결과","結果","Kết quả"
"결국","結局","Kết cục"
"결단","決斷","Quyết đoán"
"결론","結論","Kết luận"
"결승전","決勝戰","Trận chung kết"
"결연","結緣","Kết nghĩa"
"결정","決定","Quyết định"
"결합","結合","Kết hợp"
"결혼","結婚","Kết hôn"
"겸손","謙遜","Khiêm tốn"
"경각심","警覺心","Sự cảnh giác"
"경고","警告","Cảnh cáo"
"경관","景觀","Cảnh quan"
"경도","經度","Kinh độ"
"경력","經歷","Kinh nghiệm làm việc"
"경보","警報","Cảnh báo"
"경비","經費","Kinh phí"
"경영","經營","Kinh doanh"
"경쟁","競爭","Cạnh tranh"
"경제","經濟","Kinh tế"
"경찰","警察","Cảnh sát"
"경축","慶祝","Kính chúc"
"경향","傾向","Khuynh hướng"
"경험","經驗","Kinh nghiệm"
"계급","階級","Giai cấp"
"계모","繼母","Mẹ ghẻ, Mẹ kế"
"계약","契約","Hợp đồng"
"계획","計劃","Kế hoạch"
"고객","顧客","Khách"
"고급","高級","Cao cấp"
"고난","苦難","Khổ nạn, Khó khăn"
"고대","古代","Cổ đại"
"고도","高度","Độ cao"
"고립","孤立","Cô lập"
"고문","顧問","Cố vấn"
"고속","高速","Cao tốc"
"고의","故意","Cố ý"
"고전","古典","Cổ điển"
"고정","固定","Cố định"
"고향","故鄕","Quê hương"
"곤충","昆蟲","Côn trùng"
"공간","空間","Không gian"
"공감","共感","Thông cảm"
"공개","公開","Công khai"
"공고","公告","Công bố"
"공구","工具","Công cụ"
"공군","空軍","Không quân"
"공급","供給","Cung cấp"
"공기","空氣","Không khí"
"공동","共同","Cộng đồng"
"공로","功勞","Công lao"
"공룡","恐龍","Khủng long"
"공립","公立","Công lập"
"공문서","公文書","Công văn"
"공민","公民","Công dân"
"공병","工兵","Công binh"
"공산당","共産黨","Đảng cộng sản"
"공업","工業","Công nghiệp"
"공연","公演","Công diễn"
"공원","公園","Công viên"
"공인","公認","Công nhận"
"공자","孔子","Khổng Tử"
"공정","公正","Công bằng"
"공주","公主","Công chúa"
"공평","公平","Công bằng"
"공화","共和","Cộng hòa"
"공황","恐慌","Khủng hoảng"
"과거","過去","Quá khứ"
"과부","寡婦","Quả phụ"
"과연","果然","Quả nhiên"
"과장","誇張","Khoa trương"
"과정","過程","Quá trình"
"과학","科學","Khoa học"
"관계","關係","Quan hệ"
"관람","觀覽","Tham quan"
"관련","關聯","Liên quan"
"관리","管理","Quản lý"
"관세","關稅","Thuế quan"
"관심","關心","Quan tâm"
"관중","觀衆","Quần chúng"
"관찰","觀察","Quan sát"
"광경","光景","Quang cảnh"
"광고","廣告","Quảng cáo"
"광물","鑛物","Khoáng sản"
"광장","廣場","Quảng trường"
"교류","交流","Giao lưu"
"교만","驕慢","Kiêu căng"
"교민","僑民","Kiều dân"
"교수","敎授","Giáo sư"
"교육","敎育","Giáo dục"
"교제","交際","Giao thiệp"
"교통","交通","Giao thông"
"교황","敎皇","Giáo hoàng"
"구급","救急","Cấp cứu"
"구역","區域","Khu vực"
"구조","救助","Cứu trợ"
"구체","具體","Cụ thể"
"구호","救護","Cứu hộ"
"구혼","求婚","Cầu hôn"
"국가","國家","Quốc gia"
"국기","國旗","Quốc kỳ"
"국내","國內","Quốc nội"
"국립","國立","Quốc lập"
"국무","國務","Quốc vụ"
"국민","國民","Quốc dân"
"국방","國防","Quốc phòng"
"국어","國語","Quốc ngữ"
"국적","國籍","Quốc tịch"
"국제","國際","Quốc tế"
"국회","國會","Quốc hội"
"군기","軍器","Quân khí"
"군도","群島","Quần đảo"
"군비","軍費","Chi phí quân sự"
"군사","軍事","Quân sự"
"군인","軍人","Quân nhân"
"궁녀","宮女","Cung nữ"
"권력","權力","Quyền lực"
"권리","權利","Quyền"
"권한","權限","Quyền hạn"
"귀빈","貴賓","Quý khách"
"귀순","歸順","Quy thuận"
"귀신","鬼神","Quỷ thần"
"귀인","貴人","Quý nhân"
"귀족","貴族","Quý tộc"
"귀중","貴重","Quý trọng"
"규모","規模","Quy mô"
"규약","規約","Quy ước"
"규정","規定","Quy định"
"규칙","規則","Quy tắc"
"균형","均衡","Quân bằng"
"극단","極端","Cực đoan"
"극대","極大","Cực đại"
"극락","極樂","Cực lạc"
"극복","克服","Khắc phục"
"극본","劇本","Kịch bản"
"극장","劇場","Kịch trường"
"근거","根據","Căn cứ"
"근대","近代","Cận đại"
"근로","勤勞","Lao động"
"근면","勤勉","Cần cù"
"근본","根本","Căn bản"
"근시","近視","Cận thị"
"금강","金剛","Kim cương"
"금성","金星","Kim tinh (Sao Kim)"
"금지","禁止","Cấm"
"급변","急變","Cấp biến"
"급보","急報","Cấp báo"
"급성","急性","Cấp tính"
"급속","急速","Cấp tốc"
"기간","期間","Thời gian"
"기공","起工","Khởi công"
"기관","機關","Cơ quan"
"기관지","氣管支","Khí quản, phế quản"
"기관지염","氣管支炎","Viêm phế quản"
"기념","記念","Kỷ niệm"
"기능","技能","Kỹ năng"
"기대","期待","Chờ đợi"
"기독교","基督敎","Đạo Cơ đốc"
"기록","記錄","Kỷ lục"
"기본","基本","Cơ bản"
"기분","氣分","Tâm trạng"
"기사","技師","Kỹ sư"
"기생","寄生","Ký sinh"
"기숙사","寄宿舍","Ký túc xá"
"기술","技術","Kỹ thuật"
"기억","記憶","Ghi nhớ"
"기자","記者","Ký giả"
"기초","基礎","Cơ sở"
"기한","期限","Kỳ hạn"
"기호","記號","Ký hiệu"
"기회","機會","Cơ hội"
"기후","氣候","Khí hậu"
"긴급","緊急","Khẩn cấp"
"끈기","根氣","Kiên trì"
"나열","羅列","Liệt kê"
"나태","懶怠","Lười biếng"
"낙담","落膽","Thất vọng"
"낙선","落選","Thất cử"
"낙성","落成","Khánh thành"
"낙수","落水","Nước rơi"
"낙심","落心","Nản lòng"
"낙엽","落葉","Lá rụng"
"낙오","落伍","Tụt hậu"
"낙인","烙印","Dấu ấn xấu"
"낙제","落第","Trượt thi"
"낙천","樂天","Lạc thiên"
"낙하","落下","Rơi xuống"
"난관","難關","Khó khăn"
"난국","難局","Tình thế khó"
"난제","難題","Vấn đề khó"
"난항","難航","Khó khăn"
"남발","濫發","Lạm phát"
"남침","南侵","Xâm lược phía nam"
"납부","納付","Nộp tiền"
"납세","納稅","Nộp thuế"
"납입","納入","Nộp vào"
"내각제","內閣制","Chế độ nội các"
"내구","耐久","Bền lâu"
"내력","來歷","Lai lịch"
"내막","內幕","Nội tình"
"내성","耐性","Tính chịu đựng"
"내수","內需","Nhu cầu nội địa"
"내외","內外","Trong ngoài"
"내재","內在","Nội tại"
"내진","耐震","Chống động đất"
"내통","內通","Thông đồng bên trong"
"냉각","冷却","Làm lạnh"
"냉전","冷戰","Chiến tranh lạnh"
"냉혹","冷酷","Lạnh lùng tàn nhẫn"
"노골","露骨","Lộ liễu"
"노동력","勞動力","Sức lao động"
"노선","路線","Đường lối"
"노출","露出","Phơi bày"
"노후","老後","Tuổi già"
"논거","論據","Luận cứ"
"논평","論評","Bình luận"
"농담","弄談","Nói đùa"
"농성","籠城","Cố thủ"
"누적","累積","Tích lũy"
"능가","凌駕","Vượt trội"
"능숙","能熟","Thành thạo"
"다수결","多數決","Đa số quyết định"
"단속","團束","Kiểm soát"
"단절","斷絶","Cắt đứt"
"단호","斷乎","Dứt khoát"
"달성","達成","Đạt được"
"담보","擔保","Thế chấp"
"담합","談合","Thông đồng"
"당국","當局","Đương cục"
"당면","當面","Trước mắt"
"당선","當選","Đắc cử"
"당위","當爲","Điều phải làm"
"대가","代價","Đại giá, Cái giá"
"대결","對決","Đối quyết"
"대공황","大恐慌","Đại khủng hoảng"
"대규모","大規模","Quy mô lớn"
"대기업","大企業","Doanh nghiệp lớn"
"대담","大膽","Táo bạo"
"대도시","大都市","Thành phố lớn"
"대등","對等","Ngang bằng"
"대면","對面","Đối mặt"
"대비","對比","Đối chiếu"
"대안","代案","Phương án thay thế"
"대외","對外","Đối ngoại"
"대의원","代議員","Đại biểu"
"대입","代入","Thay vào"
"대처","對處","Đối phó"
"대통령","大統領","Tổng thống"
"대화","對話","Đối thoại"
"덕목","德目","Đức mục"
"도달","到達","Đến nơi"
"도발","挑發","Khiêu khích"
"도입","導入","Đưa vào"
"도전","挑戰","Thách thức"
"도주","逃走","Bỏ trốn"
"도태","淘汰","Đào thải"
"도피","逃避","Trốn tránh"
"독립운동","獨立運動","Phong trào độc lập"
"독보","獨步","Độc bộ"
"독선","獨善","Độc thiện"
"독자적","獨自的","Độc lập"
"동결","凍結","Đóng băng"
"동반","同伴","Đồng hành"
"동시","同時","Đồng thời"
"동향","動向","Xu hướng"
"두각","頭角","Nổi bật"
"등장","登場","Xuất hiện"
"마감","磨勘","Hạn chót"
"마비","痲痺","Tê liệt"
"마찰","摩擦","Ma sát"
"만기","滿期","Mãn hạn"
"만족","滿足","Thỏa mãn"
"만행","蠻行","Hành động dã man"
"말살","抹殺","Tiêu diệt"
"망명","亡命","Lưu vong"
"망상","妄想","Ảo tưởng"
"망신","亡身","Mất mặt"
"매개","媒介","Trung gian"
"매력","魅力","Sức hút"
"매수","買收","Mua chuộc"
"매출","賣出","Doanh thu"
"매체","媒體","Phương tiện truyền thông"
"면모","面貌","Diện mạo"
"면밀","綿密","Tỉ mỉ"
"면피","免避","Tránh né"
"명분","名分","Danh nghĩa"
"명백","明白","Rõ ràng"
"명분","名分","Danh phận"
"명칭","名稱","Tên gọi"
"명함","名銜","Danh thiếp"
"모략","謀略","Mưu lược"
"모욕","侮辱","Sỉ nhục"
"모집","募集","Tuyển dụng"
"목격자","目擊者","Nhân chứng"
"목도","目睹","Chứng kiến"
"목숨","命","Mạng sống"
"무결","無缺","Hoàn hảo"
"무기력","無氣力","Vô lực"
"무단","無斷","Tự tiện"
"무분별","無分別","Bừa bãi"
"무산","霧散","Tan vỡ"
"무상","無償","Miễn phí"
"무소불위","無所不爲","Vô sở bất vi"
"무위","無爲","Vô vi"
"무장","武裝","Vũ trang"
"무절제","無節制","Vô độ"
"무지","無知","Vô tri"
"문제점","問題點","Vấn đề"
"문화재","文化財","Di sản văn hóa"
"물론","勿論","Dĩ nhiên"
"미결","未決","Chưa giải quyết"
"미래","未來","Tương lai"
"미비","未備","Chưa đầy đủ"
"미숙","未熟","Chưa thành thục"
"미지","未知","Chưa biết"
"민감","敏感","Nhạy cảm"
"민생","民生","Dân sinh"
"민영","民營","Tư nhân"
"민원","民願","Nguyện vọng dân"
"민주화","民主化","Dân chủ hóa"
"밀접","密接","Mật thiết"
"밀집","密集","Tập trung dày đặc"
"낙관","樂觀","Lạc quan"
"낙원","樂園","Thiên đường"
"낙타","駱駝","Lạc đà"
"낙태","落胎","Nạo thai"
"낙후","落後","Lạc hậu"
"난로","暖爐","Lò sưởi"
"난리","亂離","Nạn, Hỗn loạn"
"난민","難民","Nạn dân"
"난시","亂視","Loạn thị"
"난처","難處","Khó xử"
"남극","南極","Nam cực"
"남녀","男女","Nam nữ"
"남방","南方","Phương nam"
"남북","南北","Nam bắc"
"남성","男性","Nam tính"
"남용","濫用","Lạm dụng"
"낭비","浪費","Lãng phí"
"내각","內閣","Nội các"
"내과","內科","Nội khoa"
"내규","內規","Nội quy"
"내란","內亂","Nội chiến"
"내무","內務","Nội vụ"
"내부","內部","Nội bộ"
"내선","內線","Nội tuyến"
"내심","內心","Nội tâm"
"내용","內容","Nội dung"
"내장","內臟","Nội tạng"
"내전","內戰","Nội chiến"
"내정","內情","Nội tình"
"냉","冷","Lạnh"
"냉담","冷淡","Lạnh nhạt, Lạnh lùng"
"냉동","冷凍","Đông lạnh"
"냉동건조","冷凍乾燥","Đông lạnh khô"
"냉동식품","冷凍食品","Thực phẩm đông lạnh"
"냉동어","冷凍魚","Cá đông lạnh"
"냉동창고","冷凍倉庫","Kho đông lạnh"
"냉면","冷麵","Mỳ lạnh"
"냉방","冷房","Phòng lạnh"
"냉수","冷水","Nước lạnh"
"냉수욕","冷水浴","Tắm nước lạnh"
"냉장고","冷藏庫","Tủ lạnh"
"냉장실","冷藏室","Phòng lạnh"
"냉장차","冷藏車","Xe lạnh"
"노동","勞動","Lao động"
"노력","努力","Nỗ lực"
"노련","老鍊","Lão luyện"
"노비","路費","Lộ phí"
"노승","老僧","Lão tăng"
"노예","奴隸","Nô lệ"
"노인","老人","Lão nhân"
"노자","老子","Lão Tử"
"노장","老將","Lão tướng"
"노조","勞組","Công đoàn lao động"
"노천","露天","Lộ thiên"
"노출","露出","Lộ ra"
"노화","老化","Lão hóa"
"녹용","鹿茸","Lộc nhung"
"논란","論難","Tranh luận"
"논리","論理","Lôgic"
"논문","論文","Luận văn"
"논어","論語","Luận ngữ"
"논의","論議","Luận bàn, Bàn bạc"
"논쟁","論爭","Luận tranh"
"농가","農家","Nhà nông"
"농경","農耕","Nông canh"
"농공업","農工業","Nông công nghiệp"
"농기구","農器具","Nông cụ"
"농도","濃度","Nồng độ"
"농림업","農林業","Nông lâm nghiệp"
"농민","農民","Nông dân"
"농산물","農産物","Nông sản"
"농업","農業","Nông nghiệp"
"농장","農場","Nông trường"
"농촌","農村","Nông thôn"
"뇌","腦","Não"
"뇌신경","腦神經","Thần kinh não"
"느낌","感","Cảm giác"
"능동","能動","Năng động"
"능력","能力","Năng lực"
"능율","能率","Năng suất"
"다각","多角","Đa giác"
"다감","多感","Đa cảm"
"다능","多能","Đa năng"
"다르다","異","Khác"
"다면","多面","Đa diện"
"다소","多少","Đa số"
"다스리다","治","Quản lý"
"다양","多樣","Đa dạng"
"다양화","多樣化","Đa dạng hoá"
