Tiếng Hàn,Hán tự,Nghĩa tiếng Việt
"재능","才能","Tài năng"
"재덕","才德","Tài đức"
"재료","材料","Nguyên liệu, Vật liệu"
"재무","財務","Tài chính"
"재물","財物","Tài sản, Vật dụng"
"재발","再發","Tái phát"
"재발급","再發給","Cấp lại"
"재방송","再放送","Phát lại"
"재벌","財閥","Tài phiệt"
"재범","再犯","Tái phạm"
"재산","財産","Tài sản"
"재생","再生","Tái sinh"
"재앙","災殃","Tai nạn"
"재연","再演","Tái diễn"
"재위","在位","Tại vị"
"재임","再任","Tái nhiệm"
"재정","財政","Tài chính"
"재주","才主","Tài năng"
"재직","在職","Tại chức"
"재해","災害","Tai nạn"
"재혼","再婚","Tái hôn"
"저자","著者","Tác giả"
"저작","著作","Chế tác"
"적군","敵軍","Quân địch"
"적극","積極","Tích cực"
"적당","適當","Thích đáng, Hợp lý"
"적발","摘發","Phát hiện"
"적법","適法","Hợp pháp"
"십자가","十字架","Giá chữ thập"
"아이디어","idea","Ý kiến, Ý tưởng"
"아편","阿片","Á phiện"
"악","惡","Ác, Cái ác"
"알맞다","適","Phù hợp"
"얼다","凍","Đông"
"엄하다","嚴","Nghiêm"
"여자","女子","Phụ nữ"
"억지로","强制","Cưỡng bức"
"애쓰다","努力","Nỗ lực"
"쇠다","衰","Kỷ niệm"
"스스로","自","Tự động"
"몽설","夢泄","Mộng tinh"
"몽정","夢精","Mộng tinh"
"베풀다","施","Cưu mang"
"속하다","屬","Thuộc về"
"차","茶","Trà"
"차리다","備","Chuẩn bị"
"시행령","施行令","Lệnh thi hành"
"정","情","Tình, Tình cảm"
"정액","精液","Tinh dịch"
"배달","配達","Phát, Chuyển"
"배우다","學","Học"
"백마","白馬","Bạch mã"
"벽화","壁畫","Bích họa"
"번화가","繁華街","Phố xá sầm uất"
"순","純","Thuần"
"적수","敵手","Địch thủ"
"적응","適應","Thích ứng"
"적절","適切","Phù hợp"
"적중","的中","Trúng đích"
"적합","適合","Thích hợp"
"전개","展開","Triển khai"
"전도","前途","Tiền đồ"
"전람","展覽","Triển lãm"
"전략","戰略","Chiến lược"
"전력","電力","Điện lực"
"전례","前例","Tiền lệ"
"전류","電流","Điện lưu"
"전망","展望","Triển vọng"
"전문","專門","Chuyên môn"
"전보","電報","Điện báo"
"전사","戰士","Chiến sĩ"
"전자","電子","Điện tử"
"전쟁","戰爭","Chiến tranh"
"전적","戰績","Chiến tích"
"전제","前提","Tiền đề"
"전통","傳統","Truyền thống"
"전투","戰鬪","Chiến đấu"
"전패","全敗","Chiến bại"
"전함","戰艦","Chiến hạm"
"전형","典型","Điển hình"
"전화","電話","Điện thoại"
"절대","絶對","Tuyệt đối"
"절약","節約","Tiết kiệm"
"절차","節次","Thủ tục"
"점검","點檢","Kiểm tra"
"점령","占領","Chiếm lĩnh"
"점수","點數","Điểm số"
"점화","點火","Điểm hỏa"
"접견","接見","Tiếp kiến"
"접근","接近","Tiếp cận"
"접전","接戰","Tiếp chiến"
"접촉","接觸","Tiếp xúc"
"정견","政見","Chính kiến"
"정계","政界","Chính giới"
"정권","政權","Chính quyền"
"정규","正規","Chính quy"
"정기","定期","Định kỳ"
"정답","正答","Đáp án đúng"
"정당","正當","Chính đáng"
"정도","程度","Trình độ"
"정돈","整頓","Chỉnh đốn"
"정력","精力","Sinh lực"
"정리","整理","Thanh lý"
"정밀","精密","Tinh mật"
"정보","情報","Thông tin, Tình báo"
"정복","征服","Chinh phục"
"정부","政府","Chính phủ"
"정성","精誠","Thịnh tình"
"정세","情勢","Tình thế"
"정식","正式","Chính thức"
"정신","精神","Tinh thần"
"정욕","情慾","Tình dục"
"정의","正義","Chính nghĩa"
"정전","停戰","Đình chiến"
"정정","訂正","Đính chính"
"정중","鄭重","Trịnh trọng"
"정지","停止","Đình chỉ"
"정직","正直","Chính trực"
"정책","政策","Chính sách"
"정체","政體","Chính thể"
"정치","政治","Chính trị"
"정탐","偵探","Trinh thám"
"정통","精通","Tinh thông"
"제공","提供","Cung cấp"
"제국","帝國","Đế quốc"
"제도","制度","Chế độ"
"제목","題目","Đề mục"
"제안","提案","Đề nghị"
"제어","制御","Chế ngự"
"제자","弟子","Đệ tử"
"제작","製作","Chế tác"
"제한","制限","Hạn chế"
"조건","條件","Điều kiện"
"조국","祖國","Tổ quốc"
"조력","助力","Trợ lực"
"조류","潮流","Trào lưu"
"조립","組立","Lắp ráp"
"조세","租稅","Thuế"
"조수","助手","Trợ thủ"
"조장","組長","Tổ trưởng"
"조직","組織","Tổ chức"
"철학","哲學","Triết học"
"청결","淸潔","Sạch sẽ"
"체계","體系","Hệ thống"
"초월","超越","Siêu việt"
"총리","總理","Thủ tướng"
"최선","最善","Tốt nhất"
"추구","追求","Theo đuổi"
"충돌","衝突","Va chạm, Xung đột"
"취소","取消","Hủy bỏ"
"바람","風","Gió, Mong muốn"
"박수","拍手","Vỗ tay"
"박해","迫害","Bức hại"
"반감","反感","Phản cảm"
"반공","反共","Chống cộng"
"반기","反旗","Cờ phản loạn"
"반납","返納","Trả lại"
"반도체","半導體","Chất bán dẫn"
"반론","反論","Phản luận"
"반목","反目","Bất hòa"
"반문","反問","Phản vấn"
"반민족","反民族","Phản dân tộc"
"반발","反撥","Phản ứng mạnh"
"반성","反省","Kiểm điểm, Phản tỉnh"
"반수","半數","Một nửa"
"반전","反轉","Đảo ngược"
"반증","反證","Phản chứng"
"반칙","反則","Phạm quy"
"반포","頒布","Ban bố"
"발각","發覺","Bị phát hiện"
"발굴","發掘","Khai quật"
"발달","發達","Phát triển"
"발령","發令","Ban lệnh"
"발사","發射","Phóng, Bắn"
"발전","發展","Phát triển"
"발족","發足","Khởi động"
"발진","發疹","Phát ban"
"발효","發效","Có hiệu lực"
"방관","傍觀","Bàng quan"
"방기","放棄","Từ bỏ"
"방법","方法","Phương pháp"
"방비","防備","Phòng bị"
"방어선","防禦線","Phòng tuyến"
"방임","放任","Phóng túng"
"방자","放恣","Phóng túng"
"방조","幇助","Tiếp tay"
"방출","放出","Phóng thích"
"방탄","防彈","Chống đạn"
"방파제","防波堤","Đê chắn sóng"
"방폭","防爆","Chống nổ"
"배격","排擊","Bài xích"
"배분","配分","Phân phối"
"배수","排水","Thoát nước"
"배심","陪審","Bồi thẩm"
"배임","背任","Bội tín"
"배타","排他","Bài ngoại"
"배타성","排他性","Tính bài ngoại"
"배타적","排他的","Mang tính bài ngoại"
"백과","百科","Bách khoa"
"백과사전","百科事典","Từ điển bách khoa"
"백년","百年","Trăm năm"
"백미","白眉","Bạch mi, Xuất sắc nhất"
"백병전","白兵戰","Bạch binh chiến"
"백부","伯父","Bác trai"
"백수","白手","Tay trắng"
"백일","百日","Trăm ngày"
"백전","百戰","Trăm trận"
"번거","煩擧","Phiền phức"
"번뇌","煩惱","Phiền não"
"번성","繁盛","Phồn thịnh"
"벌금","罰金","Tiền phạt"
"벌칙","罰則","Quy định phạt"
"범국민","汎國民","Toàn quốc dân"
"범람","氾濫","Tràn ngập"
"범죄자","犯罪者","Tội phạm"
"법관","法官","Pháp quan"
"법원","法院","Tòa án"
"법적","法的","Pháp lý"
"법치","法治","Pháp trị"
"변경","變更","Thay đổi"
"변절","變節","Biến tiết"
"변천","變遷","Biến thiên"
"변혁","變革","Biến cách"
"보강","補强","Tăng cường"
"보건","保健","Bảo vệ sức khỏe"
"보건부","保健部","Bộ y tế"
"보국","報國","Báo quốc"
"보류","保留","Bảo lưu"
"보완","補完","Bổ sung hoàn thiện"
"보위","保衛","Bảo vệ"
"보전","保全","Bảo toàn"
"보조","補助","Trợ cấp"
"보좌","補佐","Phụ tá"
"보증","保證","Bảo đảm"
"보직","補職","Bổ nhiệm"
"보편","普遍","Phổ biến"
"보편성","普遍性","Tính phổ biến"
"복구","復舊","Phục hồi"
"복권","復權","Phục quyền"
"복무","服務","Phục vụ"
"복병","伏兵","Phục binh"
"복부","腹部","Bụng"
"복선","伏線","Phục tuyến"
"복원","復元","Phục nguyên"
"복지","福祉","Phúc lợi"
"복합","複合","Phức hợp"
"본격","本格","Chính thức"
"본론","本論","Luận điểm chính"
"본말","本末","Gốc ngọn"
"본위","本位","Bản vị"
"본질","本質","Bản chất"
"봉사","奉仕","Phụng sự"
"봉쇄","封鎖","Phong tỏa"
"봉헌","奉獻","Dâng hiến"
"부각","浮刻","Nổi bật"
"부결","否決","Phủ quyết"
"부과","賦課","Áp đặt"
"부국","富國","Phú quốc"
"부담","負擔","Gánh nặng"
"부당","不當","Bất đáng"
"부도","不渡","Phá sản"
"부력","浮力","Lực nổi"
"부모","父母","Cha mẹ"
"부민","富民","Dân giàu"
"부산","釜山","Busan"
"부상","負傷","Bị thương"
"부속","附屬","Phụ thuộc"
"부수","附隨","Kèm theo"
"부실","不實","Không thực chất"
"부여","賦與","Trao cho"
"부재","不在","Vắng mặt"
"부정부패","不正腐敗","Tham nhũng"
"부족","不足","Thiếu hụt"
"부채","負債","Nợ"
"부패","腐敗","Tham nhũng, Thối rữa"
"부하","部下","Cấp dưới"
"분개","憤慨","Phẫn uất"
"분권","分權","Phân quyền"
"분단","分斷","Chia cắt"
"분담","分擔","Phân chia gánh nặng"
"분리","分離","Phân ly"
"분명","分明","Rõ ràng"
"분산","分散","Phân tán"
"분쟁","紛爭","Tranh chấp"
"분파","分派","Phân phái"
"분할","分割","Phân chia"
"불가","不可","Bất khả"
"불가결","不可缺","Không thể thiếu"
"불가침","不可侵","Bất khả xâm phạm"
"불경","不敬","Bất kính"
"불공정","不公正","Bất công"
"불구","不拘","Bất chấp"
"불굴","不屈","Bất khuất"
"불균형","不均衡","Mất cân bằng"
"불만","不滿","Bất mãn"
"불명예","不名譽","Bất danh dự"
"불복","不服","Bất phục"
"불순","不純","Bất thuần"
"불의","不義","Bất nghĩa"
"불이익","不利益","Bất lợi"
"불인정","不認定","Không công nhận"
"불투명","不透明","Không minh bạch"
"비공개","非公開","Không công khai"
"비공식","非公式","Không chính thức"
"비교","比較","So sánh"
"비난","非難","Chỉ trích"
"비례","比例","Tỷ lệ"
"비리","非理","Phi lý, Tham nhũng"
"비무장","非武裝","Phi vũ trang"
"비민주","非民主","Phi dân chủ"
"비방","誹謗","Phỉ báng"
"비상구","非常口","Lối thoát hiểm"
"비상사태","非常事態","Tình trạng khẩn cấp"
"비약","飛躍","Nhảy vọt"
"비위","非違","Vi phạm"
"비인도","非人道","Phi nhân đạo"
"비자","査證","Visa"
"비전","Vision","Tầm nhìn"
"비정규","非正規","Phi chính quy"
"비정상","非正常","Bất thường"
"비중","比重","Tỷ trọng"
"비핵화","非核化","Phi hạt nhân hóa"
"사고방식","思考方式","Cách suy nghĩ"
"사기","士氣","Sĩ khí, Tinh thần"
"사기꾼","詐欺","Kẻ lừa đảo"
"사면","赦免","Ân xá"
"사무","事務","Sự vụ"
"사무소","事務所","Văn phòng"
"사무실","事務室","Phòng làm việc"
"사법부","司法府","Cơ quan tư pháp"
"사생활","私生活","Đời tư"
"사설","社說","Xã luận"
"사수","死守","Tử thủ"
"사안","事案","Vụ việc"
"사유","私有","Tư hữu"
"사유지","私有地","Đất tư nhân"
"사전","事前","Trước khi"
"사전","辭典","Từ điển"
"사절","使節","Sứ tiết"
"사정","事情","Tình hình"
"사조","思潮","Trào lưu tư tưởng"
"사찰","査察","Thanh tra"
"사형","死刑","Tử hình"
"사후","事後","Sau khi"
"삭감","削減","Cắt giảm"
"삭제","削除","Xóa bỏ"
"산물","産物","Sản phẩm"
"산재","散在","Rải rác"
"산하","傘下","Trực thuộc"
"살상","殺傷","Sát thương"
"살육","殺戮","Tàn sát"
"삼권","三權","Tam quyền"
"삼권분립","三權分立","Tam quyền phân lập"
"상고","上告","Kháng cáo"
"상납","上納","Nộp lên trên"
"상당","相當","Tương đương"
"상대","相對","Đối phương"
"상대방","相對方","Bên đối diện"
"상반","相反","Tương phản"
"상부","上部","Cấp trên"
"상소","上訴","Kháng cáo"
"상속","相續","Thừa kế"
"상실","喪失","Mất mát"
"상위","上位","Cấp trên"
"상임","常任","Thường trực"
"상정","上程","Đưa ra thảo luận"
"상충","相衝","Xung đột"
"상하","上下","Trên dưới"
"생계","生計","Sinh kế"
"생략","省略","Lược bỏ"
"생리","生理","Sinh lý"
"생사","生死","Sinh tử"
"생성","生成","Sinh thành"
"생식","生殖","Sinh sản"
"생활","生活","Sinh hoạt"
"서방","西方","Phương tây"
"서열","序列","Thứ bậc"
"서원","書院","Thư viện"
"서적","書籍","Sách vở"
"서한","書翰","Thư tín"
"선결","先決","Tiên quyết"
"선도","先導","Dẫn đầu"
"선발","選拔","Tuyển chọn"
"선봉","先鋒","Tiên phong"
"선진","先進","Tiên tiến"
"선출","選出","Bầu chọn"
"선포","宣布","Tuyên bố"
"선행","善行","Thiện hành"
"설득","說得","Thuyết phục"
"설명","說明","Giải thích"
"설치","設置","Thiết lập"
"섬멸","殲滅","Tiêu diệt"
"성과물","成果物","Sản phẩm thành quả"
"성명","聲明","Tuyên bố"
"성문화","成文化","Thành văn hóa"
"성숙","成熟","Trưởng thành"
"성역","聖域","Thánh địa"
"성장","成長","Tăng trưởng"
"성취","成就","Thành tựu"
"세습","世襲","Thế tập"
"세입","歲入","Thu nhập nhà nước"
"세출","歲出","Chi tiêu nhà nước"
"소각","燒却","Thiêu hủy"
"소득","所得","Thu nhập"
"소멸","消滅","Tiêu diệt"
"소비","消費","Tiêu dùng"
"소송","訴訟","Kiện tụng"
"소수","少數","Thiểu số"
"소외","疏外","Xa cách"
"소통","疏通","Giao tiếp"
"소환","召喚","Triệu hồi"
"속국","屬國","Thuộc quốc"
"속박","束縛","Ràng buộc"
"속성","屬性","Thuộc tính"
"손상","損傷","Tổn thương"
"수감","收監","Giam giữ"
"수권","授權","Ủy quyền"
"수뇌","首腦","Đầu não"
"수락","受諾","Chấp nhận"
"수모","受侮","Bị sỉ nhục"
"수반","首班","Người đứng đầu"
"수복","收復","Thu hồi"
"수사","搜査","Điều tra"
"수습","收拾","Thu xếp"
"수여","授與","Trao tặng"
"수용","受容","Tiếp nhận"
"수위","首位","Vị trí đầu"
"수임","受任","Nhận nhiệm vụ"
"수장","首長","Thủ trưởng"
"수정안","修正案","Dự thảo sửa đổi"
"수직","垂直","Thẳng đứng"
"수탈","收奪","Cướp đoạt"
"수호","守護","Bảo vệ"
"순국","殉國","Tuẫn quốc"
"순교","殉敎","Tuẫn đạo"
"순응","順應","Thuận ứng"
"순종","順從","Thuần phục"
"순직","殉職","Tuẫn chức"
"승계","承繼","Kế thừa"
"승리","勝利","Chiến thắng"
"승복","承服","Chấp nhận"
"승진","昇進","Thăng tiến"
"시국","時局","Thời cuộc"
"시도","試圖","Thử nghiệm"
"시련","試鍊","Thử thách"
"시정","是正","Chỉnh đốn"
"시찰","視察","Thị sát"
"시행착오","試行錯誤","Thử và sai"
"신뢰성","信賴性","Độ tin cậy"
"신속","迅速","Nhanh chóng"
"신임","信任","Tín nhiệm"
"신중","愼重","Thận trọng"
"신청","申請","Đăng ký"
"신탁","信託","Tín thác"
"신흥","新興","Mới nổi"
"실각","失脚","Mất quyền lực"
"실권","實權","Thực quyền"
"실무","實務","Thực vụ"
"실정","失政","Thất chính"
"실증","實證","Thực chứng"
"심각","深刻","Nghiêm trọng"
"심층","深層","Tầng sâu"
"심화","深化","Sâu sắc hơn"
"아량","雅量","Độ lượng"
"아부","阿附","Nịnh hót"
"아성","牙城","Thành trì"
"아집","我執","Cố chấp"
"아첨","阿諂","Nịnh bợ"
"악화","惡化","Xấu đi"
"안보","安保","An ninh"
"안위","安危","An nguy"
"안일","安逸","An nhàn"
"알선","斡旋","Môi giới"
"압수","押收","Tịch thu"
"압제","壓制","Áp chế"
"압축","壓縮","Nén lại"
"애국심","愛國心","Lòng yêu nước"
"애도","哀悼","Ai điếu"
"애민","愛民","Yêu dân"
"애착","愛着","Quyến luyến"
"야당","野黨","Đảng đối lập"
"야망","野望","Tham vọng"
"야욕","野慾","Dã tâm"
"약점","弱點","Điểm yếu"
"약체","弱體","Thể yếu"
"약화","弱化","Suy yếu"
"양극화","兩極化","Phân cực hóa"
"양도","讓渡","Nhượng lại"
"양립","兩立","Cùng tồn tại"
"양분","兩分","Chia đôi"
"양자","兩者","Cả hai"
"양측","兩側","Hai phía"
"어권","漁權","Quyền đánh cá"
"어업","漁業","Ngư nghiệp"
"억압","抑壓","Áp bức"
"억제","抑制","Kiềm chế"
"억측","臆測","Suy đoán"
"언명","言明","Tuyên bố rõ"
"언약","言約","Lời hứa"
"언질","言質","Lời cam kết"
"엄단","嚴斷","Xử lý nghiêm"
"엄벌","嚴罰","Phạt nặng"
"엄수","嚴守","Tuân thủ nghiêm"
"엄중","嚴重","Nghiêm trọng"
"여건","與件","Điều kiện"
"여당","與黨","Đảng cầm quyền"
"여망","輿望","Kỳ vọng dư luận"
"여성","女性","Nữ tính"
"여지","餘地","Dư địa"
"역량","力量","Năng lực"
"역설","逆說","Nghịch lý"
"역전","逆轉","Đảo ngược"
"역할","役割","Vai trò"
"연계","連繫","Liên kết"
"연고","緣故","Duyên cớ"
"연대감","連帶感","Cảm giác đoàn kết"
"연루자","連累者","Người liên lụy"
"연설","演說","Diễn thuyết"
"연임","連任","Tái nhiệm"
"연장","延長","Kéo dài"
"연정","聯政","Liên minh chính trị"
"연좌","連坐","Liên đới"
"연패","連敗","Thua liên tiếp"
"연행","連行","Dẫn giải"
"열강","列强","Liệt cường"
"열기","熱氣","Nhiệt khí"
"열망","熱望","Khao khát"
"열세","劣勢","Thế yếu"
"열의","熱意","Nhiệt tình"
"열정","熱情","Nhiệt huyết"
"열패","劣敗","Thua kém"
"영결","永訣","Vĩnh biệt"
"영광","榮光","Vinh quang"
"영구적","永久的","Vĩnh cửu"
"영도","領導","Lãnh đạo"
"영리","營利","Lợi nhuận"
"영속","永續","Bền vững"
"영수","領袖","Lãnh tụ"
"영역","領域","Lĩnh vực"
"영웅","英雄","Anh hùng"
"영입","迎入","Tiếp nhận"
"영전","榮轉","Thăng chức"
"영주","永住","Định cư"
"영토권","領土權","Chủ quyền lãnh thổ"
"예고","豫告","Báo trước"
"예산","豫算","Ngân sách"
"예속","隸屬","Lệ thuộc"
"예우","禮遇","Đãi ngộ"
"예정","豫定","Dự định"
"예측","豫測","Dự đoán"
"오만","傲慢","Kiêu ngạo"
"오판","誤判","Phán đoán sai"
"오해","誤解","Hiểu lầm"
"온건","穩健","Ôn hòa"
"온전","穩全","Toàn vẹn"
"완강","頑强","Ngoan cường"
"완결","完結","Hoàn kết"
"완성","完成","Hoàn thành"
"완전","完全","Hoàn toàn"
"완화","緩和","Nới lỏng"
"외압","外壓","Áp lực bên ngoài"
"외채","外債","Nợ nước ngoài"
"외침","外侵","Xâm lược từ ngoài"
"요인","要因","Yếu tố"
"요청","要請","Yêu cầu"
"용단","勇斷","Quyết đoán dũng cảm"
"용서","容恕","Tha thứ"
"용인","容認","Chấp nhận"
"우려","憂慮","Lo ngại"
"우방","友邦","Nước bạn"
"우상","偶像","Thần tượng"
"우열","優劣","Hơn kém"
"우위","優位","Ưu thế"
"우파","右派","Cánh hữu"
"운용","運用","Vận dụng"
"운집","雲集","Tụ tập đông"
"원기","元氣","Nguyên khí"
"원망","怨望","Oán trách"
"원상","原狀","Nguyên trạng"
"원수","怨讐","Kẻ thù"
"원심","原審","Phiên tòa sơ thẩm"
"원외","院外","Ngoài nghị viện"
"원유","原油","Dầu thô"
"원전","原典","Nguyên điển"
"원천","源泉","Nguồn gốc"
"원통","冤痛","Oan ức"
"위기","危機","Nguy cơ"
"위독","危篤","Nguy kịch"
"위법","違法","Vi phạm pháp luật"
"위세","威勢","Uy thế"
"위수","衛戍","Đồn trú"
"위압","威壓","Uy áp"
"위증","僞證","Làm chứng giả"
"위헌","違憲","Vi hiến"
"유감","遺憾","Tiếc nuối"
"유고","有故","Có sự cố"
"유권자","有權者","Cử tri"
"유대","紐帶","Mối liên kết"
"유도심문","誘導審問","Thẩm vấn dẫn dắt"
"유력","有力","Có thế lực"
"유보","留保","Bảo lưu"
"유세","遊說","Vận động bầu cử"
"유신","維新","Duy tân"
"유예","猶豫","Hoãn lại"
"유지","維持","Duy trì"
"유착","癒着","Câu kết"
"유화","宥和","Hòa giải"
"은폐","隱蔽","Che giấu"
"은퇴","隱退","Về hưu"
"음모론","陰謀論","Thuyết âm mưu"
"음해","陰害","Hãm hại ngầm"
"응보","應報","Báo ứng"
"응징","應懲","Trừng phạt"
"의결","議決","Nghị quyết"
"의구심","疑懼心","Nghi ngờ lo sợ"
"의기","意氣","Ý khí"
"의석","議席","Ghế nghị viện"
"의심","疑心","Nghi ngờ"
"의안","議案","Dự án nghị quyết"
"의존","依存","Phụ thuộc"
"의혹","疑惑","Nghi vấn"
"이견","異見","Ý kiến khác"
"이권","利權","Lợi quyền"
"이념","理念","Lý niệm"
"이단","異端","Dị đoan"
"이면","裏面","Mặt trái"
"이반","離反","Ly khai"
"이분","二分","Chia đôi"
"이상","理想","Lý tưởng"
"이양","移讓","Chuyển giao"
"이의","異議","Phản đối"
"이적","利敵","Có lợi cho địch"
"이탈","離脫","Tách rời"
"이해관계","利害關係","Quan hệ lợi hại"
"인가","認可","Phê duyệt"
"인계","引繼","Bàn giao"
"인내","忍耐","Nhẫn nại"
"인망","人望","Uy tín"
"인솔","引率","Dẫn dắt"
"인수","引受","Tiếp nhận"
"인신","人身","Thân người"
"인질","人質","Con tin"
"인척","姻戚","Thông gia"
"인허가","認許可","Cấp phép"
"일관","一貫","Nhất quán"
"일괄","一括","Gộp lại"
"일방","一方","Một phía"
"일방적","一方的","Đơn phương"
"일부","一部","Một phần"
"일선","一線","Tuyến đầu"
"일시","一時","Nhất thời"
"일치","一致","Nhất trí"
"일탈","逸脫","Lệch lạc"
"임박","臨迫","Sắp đến"
"임시","臨時","Tạm thời"
"임전","臨戰","Lâm chiến"
"입각","入閣","Vào nội các"
"입장","立場","Lập trường"
"입후보","立候補","Ứng cử"